1;Фёдоров;Георгий;Глебович;20.06.2000;602239120756;191-732-407-30;74 68 338316;79469538514;fjodorov647@bk.ru;68
2;Брагин;Данила;Валентинович;21.08.1999;206514132896;146-682-528-81;76 86 964787;79835687390;bragin721@ya.ru;29
3;Поляков;Тихон;Семенович;31.01.1999;675929225989;170-393-752-66;33 55 158024;79329009015;polyakov144@list.ru;2
4;Владимиров;Тимур;Георгиевич;24.06.1984;242685486106;136-789-497-20;55 68 394842;79157078911;vladimirov138@list.ru;70
5;Гришин;Олег;Кириллович;14.12.1981;774954569783;136-747-951-44;69 94 246651;79254589190;grishin461@gmail.com;6
6;Суворов;Андрей;Егорович;22.07.1998;178272914571;173-772-321-19;59 39 427639;79741161774;suvorov319@ya.ru;54
7;Потапов;Илья;Витальевич;25.10.1996;429177380394;161-274-824-70;47 94 263623;79986024055;potapov654@list.ru;49
8;Давыдов;Иван;Петрович;09.04.1985;503273830043;143-493-604-35;50 77 196795;79023372679;davydov563@gmail.com;51
9;Пономарёв;Егор;Владимирович;19.06.1981;447189406882;157-454-696-58;39 78 248259;79122279548;ponomarjov137@list.ru;48
10;Галкин;Петр;Алексеевич;22.01.1981;572588125370;181-287-151-25;53 21 703872;79077155064;galkin279@gmail.com;40
11;Дроздов;Владислав;Маркович;15.01.1982;910033208242;174-185-946-12;83 33 418977;79051394969;drozdov382@list.ru;8
12;Савельев;Всеволод;Аркадьевич;14.12.1990;511128328542;178-932-455-53;87 75 774117;79903845088;savelev494@bk.ru;67
13;Семёнов;Георгий;Валентинович;12.08.1992;577345497684;130-747-795-65;21 89 691804;79146998046;semjonov396@bk.ru;48
14;Сорокин;Олег;Робертович;19.04.1987;240822357970;173-933-168-32;78 62 412644;79689142786;sorokin743@ya.ru;30
15;Щукин;Назар;Платонович;19.06.1991;669536574172;160-421-485-54;32 24 509571;79355521601;schukin66@list.ru;8
16;Капустин;Анатолий;Павлович;28.08.1985;524420672264;161-440-118-28;37 93 256252;79822360085;kapustin544@list.ru;70
17;Суворов;Станислав;Олегович;04.12.1983;559612831943;191-749-497-36;46 91 686732;79913073694;suvorov310@ya.ru;53
18;Исаков;Влад;Максимович;07.11.1979;831542258130;150-739-259-28;64 83 684647;79227587208;isakov33@mail.ru;39
19;Копылов;Николай;Петрович;16.07.1978;454987381796;174-715-305-26;82 22 928458;79526458056;kopylov66@mail.ru;28
20;Меркушев;Борис;Витальевич;13.01.1995;441159828288;177-459-353-30;80 25 777429;79044456958;merkushev644@gmail.com;48
21;Цветков;Тимур;Филиппович;13.05.1986;912965470499;160-533-748-43;25 56 653595;79733179874;tsvetkov564@bk.ru;74
22;Рожков;Влад;Сергеевич;23.02.1987;970538538980;180-899-320-88;57 92 868374;79457814598;rozhkov740@gmail.com;36
23;Тимофеев;Игнат;Тихонович;03.01.1986;701029817708;130-752-545-62;88 92 580194;79021408953;timofeev511@mail.ru;47
24;Королёв;Тихон;Николаевич;16.09.1990;232427386473;166-239-477-63;22 22 377495;79405965132;koroljov155@bk.ru;58
25;Игнатьев;Мирослав;Всеволодович;13.06.1980;941024949204;176-725-658-73;63 48 553809;79963104467;ignatev765@bk.ru;38
26;Королёв;Ринат;Яковлевич;13.05.1993;546274380015;131-810-842-59;64 91 773648;79366747360;koroljov720@gmail.com;36
27;Русаков;Федор;Владимирович;31.05.1997;716675976750;155-305-349-92;71 42 630167;79735815752;rusakov689@bk.ru;64
28;Фёдоров;Роман;Богданович;18.01.1979;925272171027;130-414-878-49;21 96 251603;79043991974;fjodorov325@ya.ru;89
29;Жданов;Никита;Филиппович;11.07.1996;290166556588;176-633-537-61;28 37 588913;79215107724;zhdanov603@gmail.com;72
30;Мухин;Роман;Глебович;29.11.1979;452627930816;175-922-221-87;35 58 214315;79368688855;mukhin671@ya.ru;70
31;Рыбаков;Данил;Леонидович;28.09.1980;285596579610;135-171-246-83;92 74 496724;79306325357;rybakov475@gmail.com;25
32;Кузнецов;Николай;Вадимович;01.12.1997;811387485936;175-140-621-31;55 25 419799;79988195225;kuznetsov192@list.ru;15
33;Савельев;Ринат;Павлович;29.12.1990;861916517698;136-793-484-59;88 53 687800;79427131909;savelev620@list.ru;41
34;Мясников;Василий;Робертович;25.09.1987;744263806229;166-803-648-22;21 96 875865;79105676888;myasnikov730@list.ru;52
35;Сысоев;Арсений;Станиславович;01.09.1993;881192397616;151-672-186-36;42 44 299480;79136530947;sysoev421@ya.ru;63
36;Антонов;Тихон;Витальевич;07.12.1989;214348432539;166-239-345-22;89 86 228908;79808145961;antonov493@bk.ru;75
37;Харитонов;Степан;Ильич;04.06.1983;878744287978;136-180-840-43;40 41 589691;79796763977;kharitonov69@bk.ru;69
38;Воробьёв;Данил;Борисович;16.10.1984;264338386233;159-167-732-71;54 88 950318;79983655355;vorobjov103@list.ru;25
39;Гаврилов;Роман;Георгиевич;04.05.1984;143192219026;151-534-728-37;44 83 409728;79246051697;gavrilov469@list.ru;9
40;Логинов;Валерий;Емельянович;23.08.1993;246995227576;168-279-367-55;37 91 246138;79863551342;loginov231@gmail.com;15
41;Быков;Мирослав;Арсеньевич;22.09.1983;531038338491;197-658-643-34;78 37 185647;79428996999;bykov103@list.ru;29
42;Бирюков;Тихон;Романович;19.03.1995;558079500411;169-938-930-57;34 41 420171;79633375796;biryukov595@gmail.com;34
43;Васильев;Никита;Эдуардович;12.04.1984;851544395615;158-170-198-84;92 61 171382;79184179723;vasilev355@mail.ru;3
44;Назаров;Михаил;Евгеньевич;01.07.1995;800528949865;173-656-438-41;44 44 390273;79815875708;nazarov747@bk.ru;87
45;Стрелков;Александр;Тимофеевич;03.09.1986;896488242044;196-723-846-54;33 91 233707;79393706027;strelkov15@gmail.com;31
46;Третьяков;Эмиль;Сергеевич;01.06.1990;877864305314;126-868-615-47;34 27 866571;79937610953;tretyakov581@bk.ru;31
47;Одинцов;Игнат;Иванович;31.05.1983;783495685176;154-613-490-84;96 81 138628;79607533386;odintsov419@gmail.com;62
48;Харитонов;Иван;Емельянович;03.04.1987;573791438708;176-958-774-25;89 20 881157;79509115446;kharitonov85@ya.ru;26
49;Шестаков;Александр;Яковлевич;24.02.1990;862803906784;119-715-824-55;63 71 247124;79188126427;shestakov358@mail.ru;40
50;Орлов;Леонид;Иванович;30.07.1980;571599119138;187-266-644-16;53 17 893666;79155777327;orlov34@gmail.com;51
51;Панфилов;Родион;Витальевич;09.05.1978;774979790863;186-466-856-24;41 56 532455;79289274695;panfilov714@mail.ru;66
52;Вишняков;Тимофей;Робертович;24.12.1997;881118374428;120-295-150-86;19 91 266346;79023672390;vishnyakov600@ya.ru;71
53;Буров;Даниил;Львович;03.12.1993;306720905076;190-131-355-56;69 19 522158;79357173269;burov560@mail.ru;51
54;Гуляев;Всеволод;Константинович;02.02.1987;721070808337;145-124-810-68;33 72 658037;79915482313;gulyaev28@list.ru;9
55;Артемьев;Игнат;Ефимович;19.01.1992;562030424851;150-205-123-12;76 36 282028;79867467875;artemev172@mail.ru;7
56;Тимофеев;Эмиль;Вячеславович;01.11.1994;348914908440;120-902-518-82;85 32 271874;79984181620;timofeev129@list.ru;42
57;Рябов;Родион;Георгиевич;06.09.1992;519088364064;152-277-272-38;58 92 536946;79817933051;ryabov435@bk.ru;65
58;Потапов;Владимир;Яковлевич;13.07.1980;555686791379;151-173-605-18;94 49 452736;79516022078;potapov492@bk.ru;62
59;Евдокимов;Артур;Вячеславович;17.07.1979;161489514057;176-314-334-21;37 27 789754;79372473520;evdokimov344@ya.ru;54
60;Ефимов;Алексей;Вячеславович;20.01.1989;194001722171;135-889-368-60;61 17 606900;79216444694;efimov701@gmail.com;10
61;Мухин;Святослав;Ефимович;16.01.1980;599381237822;150-372-944-69;21 28 450371;79335212809;mukhin739@list.ru;73
62;Рожков;Виталий;Витальевич;18.04.1996;776322467837;186-549-762-14;74 83 844739;79499425861;rozhkov689@ya.ru;55
